node1	label	node2	id
P3156-Psort_criterion-5da6e4	Psort_order	asc	P3156-Psort_criterion-5da6e4-Psort_order-d68d3f
P3156-Psort_criterion-5da6e4	datatype	string	P3156-Psort_criterion-5da6e4-datatype-473287
P3157	datatype	quantity	P3157-datatype-1a7b30
P3157	Psort_order	asc	P3157-Psort_order-d68d3f
P3157	Psort_criterion	value	P3157-Psort_criterion-cd4240
P3158	datatype	wikibase-item	P3158-datatype-643cc9
P3158	Psort_order	asc	P3158-Psort_order-d68d3f
P3158	Psort_criterion	value	P3158-Psort_criterion-cd4240
P3159	datatype	external-id	P3159-datatype-1a57bf
P3159	Psort_order	asc	P3159-Psort_order-d68d3f
P3159	Psort_criterion	value	P3159-Psort_criterion-cd4240
P3160	datatype	external-id	P3160-datatype-1a57bf
P3160	Psort_order	asc	P3160-Psort_order-d68d3f
P3160	Psort_criterion	value	P3160-Psort_criterion-cd4240
P3161	datatype	wikibase-item	P3161-datatype-643cc9
P3161	Psort_order	asc	P3161-Psort_order-d68d3f
P3161	Psort_criterion	value	P3161-Psort_criterion-cd4240
P3162	datatype	external-id	P3162-datatype-1a57bf
P3162	Psort_order	asc	P3162-Psort_order-d68d3f
P3162	Psort_criterion	value	P3162-Psort_criterion-cd4240
P3163	datatype	external-id	P3163-datatype-1a57bf
P3163	Psort_order	asc	P3163-Psort_order-d68d3f
P3163	Psort_criterion	value	P3163-Psort_criterion-cd4240
P3165	datatype	external-id	P3165-datatype-1a57bf
P3165	Psort_order	asc	P3165-Psort_order-d68d3f
P3165	Psort_criterion	value	P3165-Psort_criterion-cd4240
P3166	datatype	external-id	P3166-datatype-1a57bf
P3166	Psort_order	asc	P3166-Psort_order-d68d3f
P3166	Psort_criterion	value	P3166-Psort_criterion-cd4240
P3167	datatype	external-id	P3167-datatype-1a57bf
P3167	Psort_order	asc	P3167-Psort_order-d68d3f
P3167	Psort_criterion	value	P3167-Psort_criterion-cd4240
P3168	datatype	external-id	P3168-datatype-1a57bf
P3168	Psort_order	asc	P3168-Psort_order-d68d3f
P3168	Psort_criterion	value	P3168-Psort_criterion-cd4240
P3169	datatype	external-id	P3169-datatype-1a57bf
P3169	Psort_order	asc	P3169-Psort_order-d68d3f
P3169	Psort_criterion	value	P3169-Psort_criterion-cd4240
P3170	datatype	external-id	P3170-datatype-1a57bf
P3170	Psort_criterion	qualifier	P3170-Psort_criterion-5da6e4
P3170-Psort_criterion-5da6e4	Psort_qualifier	P973	P3170-Psort_criterion-5da6e4-Psort_qualifier-P973
P3170-Psort_criterion-5da6e4	Psort_order	asc	P3170-Psort_criterion-5da6e4-Psort_order-d68d3f
P3170-Psort_criterion-5da6e4	datatype	url	P3170-Psort_criterion-5da6e4-datatype-28e5eb
P3171	datatype	external-id	P3171-datatype-1a57bf
P3171	Psort_order	asc	P3171-Psort_order-d68d3f
